text,label,reason
"Is there a better way to make a special occasion truly memorable? Every moment and every morsel at our last visit was outstanding. The setting and service complement meticulously prepared food. Wait staff is attentive, accommodating and knowledgable without being unctuous. Wine reasonable. Two of us shared the veal rib entree - no, three, because it was such a generous portion that our dog feasted on leftovers for days. Pricey but good value.",none,nan
"I always want to be able to say Citronelle is over the hill, but every time I go I am wowed by the food.",none,nan
"Gastronomique extraordinaire! The decor is simple ""hotel fine-dining"" style that, purposely, does not distract or detract from the main event/focus, that is, the AMAZING FOOD that fills your senses with joie de vivre et manger. We left with only one wish -- that our stomachs were larger to accommodate more of the delicious food and desserts. We dined there recently for a wedding anniversary. The staff were wonderfully kind and attentive, with spot-on recommendations. Overall, a to-die-for culina",none,nan
Delicious but very pricey.,none,nan
"My favorite is the lavender lemonade and the ""caviar"" lobster.",none,nan
What a absolute delight! The customer service was off the chain! Five stars up for management and cashier! Store was very clean and the stock person was very helpful as well.,none,nan
"It is a good place to shop for house hold products and personal needs, other things for personal use.",none,nan
Went to drop of FedEx package for pickup!,none,nan
My experience with this particular Rite Aid Walgreens is always a pleasant and positive one.,none,nan
Nice new look but some ghetto employees....had to leave after 10min of waiting for someone to help me... I work to hard to give my money to them,none,nan
I like this store,none,nan
Love stopping by this Rite Aid.,none,"On-topic, valid review of the business."
"Terrible experience. Was there yesterday to upgrade my phone after he had ordered the phone I wanted. It took him 15 minutes just to process the tax difference of the two phones after swiping my credit card at least 15 times and in the end not being able to process the exchange. In the end, he still put some charges on my credit card even though I walked out of the store without getting anything. Worse than that, I received two emails of receipts of other customers who had purchased products and",none,nan
Good customer service but pricey,none,nan
One guy working on Black Friday weekend. Refused to give me an approximate wait time. Mask down below nose. Left after an hour with no resolution to my problem.,none,nan
I can't believe they closed this store. It was a convenient location for me since I live in Georgetown. The people there were friendly and knowledgeable. I hope they didn't fire the employees and rather just relocated them to other locations. Now i'm going to have to go to K Street or Chinatown's location for some help. I hope they open up another branch in the Georgetown area.,none,nan
They were helpful bit couldn't address my issue. I still had to call 611,none,nan
Not satisfied with employee,none,nan
Top notch dog park. Had no idea one like this existed in DC and it is a god send.,none,nan
Great dog park! My boys had fun with the variety of dog buddies.,none,nan
The big field had lots of room for rubbing.,none,nan
"What a great find! My friend and I decided to take our dogs for a walk in Rock a reek Park, and we finished our walk here. There's lots of space for our dogs to run and get the zoomies our of their system. And the other dogs here seemed really friendly as well.",none,nan
Very nice little dog park. The best part is the much larger grassy park right next to it. If there is no one playing soccer it's a fantastic place for dogs to run around. Much larger than the actual dog park.,none,nan
Two slices of pizza $9.50 with a small apple juice. Way over priced and did they forget to cut on the heat. But the staff is very friendly and the store is clean. Over all a good place to get a quick slice.,none,nan
Great staff and good Pizza its a great location to get a single slice and they have lunch deals.,none,nan
Customer service could have been more polite.,none,nan
I ordered pizzas for a meeting at work and they delivered right on time! The Pizza was good too.,none,nan
Good pizza and quick service,none,nan
"Great food, great price.",none,nan
Not the most flavorful pizza Bmp. size is small and bland .,none,nan
Good pizza and stronboli.,none,nan
Stuffed pizza is the best.,none,nan
Good pizza!!,none,nan
(Translated by Google) Good taste (Original) Buen sabor,none,nan
"What could make a famous book store like Politics and Prose better? Answer, a yummy coffee shop. Actually misleading to call this a coffee shop. It also serves a variety of wines, beers and savory dishes. The cold peanut noodles are delicious on a hot summer's day. Stay for the books, the food, or both!",none,nan
"I came here to work on my paper, bought a bagel and ready to get to work when I then learned there’s no wifi until two pm. What am I doing here then? It’s better to go over to Little Red Fox but they have limited space. Just unleash the wifi already.",none,nan
One of the best spaces to find some quiet in public within the District. The coffee is good and so is the food menu. They have a really nice staff so you don't feel like you're bothering anyone. I would recommend spending an afternoon here working on your laptop.,none,nan
"The new renovation of the politics and prose coffee house is fantastic! The open faced sandwiches are a welcome and delicious addition to the neighborhood! The service is the fastest for lunch in the neighborhood, but still has a personal touch. Bill, who was working at the counter in a beret, was extremely helpful and friendly. Keith, the barista, made one of the best espressos I've ever had. I highly recommend stopping by.",none,nan
"Such an inviting atmosphere with varied seating to enjoy the calm of a good book, company or healthy bite, all in abundance.",none,nan
Best matcha latte !!!,none,nan
No WiFi on the weekends. Cute place but I wish I had known that before I bought something,none,nan
"Menu changes seasonally, except for the staple drinks and grilled cheeses. No WiFi on the weekends. Pastries just as good as the food on the menu. More seating and booths from 2016 expansion.",none,nan
Great coffee and snacks; a favorite spot to meet with friends for coffee.,none,nan
They turn off the wifi all weekend and during lunch on weekdays.,none,nan
Great matcha latte!,none,nan
"Amazing! You can walk around, grab your groceries, and walk out within 10 mins flat. Very fast and easy. Good selection, although I'd say the layout is a bit difficult to navigate at times as it's an L shaped store. Hope they can expand soon!",none,nan
"Lots of half empty shelves, very limited produce section, prices in line with every other grocery store. There were two other customers in the store when I visited and the staff couldn't even be bothered to say bye on my way out. Next time I'll just go to TJs or Whole Foods down the road.",none,nan
"Kind of neat experience - nothing like I've ever done before. They're still working out some kinks in the system... As you can see, their pricing system isn't perfect (no way that Mac & Cheese costs $15.98). Everything you buy goes into a virtual cart - but there's no way you can see that - so you can't check how much you're spending as you go or see whether the system made any errors until a bit after you've left. I hope their system for correcting errors is easy - not that I had any on this vi",none,nan
"Hyper convenient, though often picked off (especially of produce) and obviously quite creepy what with all the sensors.",none,nan
"Unfortunately, I was not impressed. It's not a store to do a full grocery shopping. Just a place to pick up necessities. Meat or veggie isle was not well stocked. Not a big selection of coffee.",none,nan
It's a little novelty because you can just grab items and leave. I'm a controls engineer and pretty sure Amazon is simple recording everything in store then having a human review and tally purchases. I doubt Amazon is doing this fully autonomously when human labor is so cheap. Some things that are annoying: 1. Only a single small sign that tells you the one tiny button to hit in the Amazon app to display a QR code to gain entry 2. Store was about 50% empty. Most of the produce was gone and many ,none,nan
The staff was very friendly and helpful.,none,nan
No more check out lines!!! Love it,none,nan
Very clean Staff is very pleasant and helpful Prices are cleat Incredible technology A negative point do not carry food for animals.,none,nan
"Sarah is amazing!!! She's a wavy/curly hair cutting ninja. Go see her -- you won't regret it! The salon's vibe is also super chill, which creates a relaxing atmosphere in these times.",none,nan
"I looked for a few years to find a salon I really liked after moving to DC and this is definitely it. The gentleman at the desk is always a delight to talk to and make appointments with, and I've seen two different stylists and they are both outstanding. Highly recommend.",none,nan
"Great staff, great products, conveniently located! I always enjoy going here for my cut!",none,nan
Talented stylist and tasteful decor. Ask for Andrew.,none,nan
Highly recommend Leah!,none,nan
Ask for Andrew!,none,nan
"Went for my road test today. Showed up on time -their website advised to be early- had my docs, my car (I booked one with a local driving school) and my plastic (they don’t take cash) and was in and out in about an hour. Oh and I was greeted by two helpful, smiling employees and did my test with a fair and friendly tester.",none,nan
"I had to go there Three times to try to renew my license. I had a terrible experience each time. They are very rude and appear to have no pleasant personalities at all. I mean the majority are so very rude and nasty. On my third visit to get my license, I was told that the name on my information was not my name. I asked for the manager, a woman who was just as nasty. I was in tears by now. Each time I was told something different. Finally, a man who I guess was their supervisor approached and re",no_visit_rant,Admits to multiple visits but expresses frustration without providing a balanced review.
Good customer service,none,nan
You guys are awesome! I'm coming tomorrow again just to thank each and every one of you. :-),none,nan
I never have to wait longer than 20 mins to be in and out.,none,nan
Quick courteous and helpful,none,nan
DMV Enteance on Kenilworth Ave its a one-way street you have to drive slowly or you will very easily. Building Enteance is after Mobil Gas station ⛽. pearl parking size is 22 X 8 feet at this location. They have 2 spots for tests.,none,nan
Community Dinner Tuesday 5:30 to 6:30,none,nan
I Love it,none,nan
Love it,none,nan
Jamie and the team are top notch professionals who proactively address any and all car issues you may encounter. Couldn't recommend them more,none,nan
Jamie was great the manager when I was unloading the Volvo. He was able to assist.,none,nan
"I pulled into Exxon Friday afternoon following Thanksgiving with a punctured tire and an urgent need for my car on Sunday. It required an order for a tire they didn't have on hand over a holiday weekend. Less than 24 hours elapsed and I drove home with a new tire at a reasonable price; again, on a holiday weekend. They really delivered.",none,nan
I have used them multiple times over many years. Great experience. Staff greats me imediattly does quick diagnostic tells me the price and gets it done between 15 minutes and 24 hours. Prices are reasonable.,none,nan
"Replaced a flat tire. Professional, prompt, and fairly priced.",none,nan
Great honest local business - highly recommend!,none,nan
"Fast, affordable service. Got me back on the road in less than 20 minutes.",none,nan
"What initially drove me to Conte’s was the simple fact they were open during their posted hours. Easy enough, right? Well, I’ve been going ever since and recommend them as often as able. This latest visit was for a Spring tune-up and the funny thing is how I seemingly brought in a Corolla and got back a Supra. Clearly all maintenance boxes were checked off but what shocked me was how clean they got it. Riding a white bike shows just about everything and this isn’t just the frame but the handleba",none,nan
Nice place. The team there was helpful and and the service was affordable. They got my bike back in action in just a few minutes. Thank you!,none,nan
Sales personnel were on point. Customer service was exceptional. This is the place to go for your needs.,none,nan
"I was missing just one bolt on my front derailleur, I figured the minimum charge to replace it would be north of $30. I was pleasantly surprised to be charged only $3.",none,nan
"Got some brakes bled, quick turn over great customer service",none,nan
"Been going to this location for years and even know the company has changed, the customer service and bike service is still the best in DC",none,nan
Friendly and knowledgable team. Great service. Quick turnaround. Bike running smoother than ever. I also asked them about upgrading my wheel set and they came back with the perfect recommendation. They will be my go-to shop for service and parts going forward. Thanks!,none,nan
"These guys have been taking care of my bikes for years and are so consistently reliable, honest, and fast, I wouldn't go anywhere else!",none,nan
"A rare gem of a DC bike shop that will offer to assist with e-scooters. My disk break needed adjustment, and after contacting about 6 local bike shops, this was the only one that would even consider helping. And, they tuned my scooter break perfectly.",none,nan
"Quick, affordable service! Can’t really ask for much more than that.",none,nan
"Excellent service, came for a small fix, they were quick and picked up a few other necessary adjustments.",none,nan
"Found a broken casette that ""bicycle pro shop"" missed multiple times",none,nan
Excellent,none,nan
Fun,none,nan
I graduated in 1976 prior to the changes,none,nan
A very nice ball field.,none,nan
Nice playground for children.,none,nan
Not great. Pretty dirty and littered.,none,nan
Nice to visit,none,nan
(Translated by Google) Mu (Original) Mu,none,nan
"Mustard Seed is a wonderful and relaxing massage place. Prices are up there, but the massage justifies the price. My masseuse is Caleb, who is thoughtful and carefully addresses troubled areas for maximum results after a massage. The attention to detail has been great. I’ve yet to try the other therapists yet, but I’ve heard great things too. Thank you, Caleb, for your hard work helping me fix my lower back issues!",none,nan
"Not a good massage. Barely worked anything, not a relaxing atmosphere, room was cold, bright, and loud. Worst I've gotten.",none,nan
This was an amazing place to go to for a massage 💆‍♂️. The person who gave me a massage got all of my knots out.,none,nan
Michelle was amazing. She has unique knowledge of anatomy amd physiology. I cant believe how good i feel. Best massage ever,none,nan
I want to marry Terrance! He was so professional and accommodating. Best massage ever.,none,nan
Well priced and the masseuse was pretty good. I would go again.,none,nan
I have not felt better I walked out of there walking on cloud 10000000 i will be back thank you!!!!!!,none,nan
"We took our teen for a consult on wisdom teeth removal. The surgery coordinator, Francisco, was prepared when we walked into the room. He had the x-rays from our family dentist up on the monitor and clearly explained everything so that our teen understood what would transpire on his next visit. Dr. Park was thorough and friendly. We have confidence moving forward with the procedure. The office also had all of the preoperative and postoperative medications already called into the pharmacy even th",none,nan
I went early in the morning for wisdom teeth removed. Staff is very nice and very welcoming. Highly recommend 👍🏽,none,nan
Dr Kunkle has an amazing manner with patients. The staff is friendly and pleasant. Always a great experience!,none,nan
"Highly recommend! Great staff, clean office and COVID safe. Dr. Kunkle answered all of my questions thoroughly.",none,nan
"Had my wisdom teeth removed here and was very surprised about how nice everyone was. Dr. Park performed the operation and he was qualified, kind, and gentle. He even made sure to follow up with me personally- which blew me away. The whole operation and experience could not have gone any better.",none,nan
"Went in to get all 4 of my wisdom teeth removed with Dr. Park who was very professional. During the day of the surgery everything went accordantly, surgery went smooth, duration was around 1 hr, surprisingly I came out without any significant swelling and no pain and was able to return to work the following day. The finance team there was great to work with, they took care of contacting my insurance and I was charged as accorded. Just want to give a special thanks to Dr. Park and his team for ta",none,nan
Dr. Kunkle extracted my impacted wisdom tooth. It was a very professional process. We discussed various options and found one that worked for me. Appointment was timely and the staff very friendly.,none,nan
"Having a tooth removed is highly unpleasant. Would spring for the nitrous if I have to do it again. That said, even though I had a root that was entwined with the bone, I came home and two advil every 5 hours was all I needed. Dr. Park even texted to check on me. I hope to never need them, but will 100% go back if needed.",none,Legitimate review about the dental service experience.
Dr. Park and the staff are amazing. Very professional and nice!,none,nan
"I love this place . . . they are always very pleasant and helpful. They have nice Indian trinkets and jewelry, and a variety of incense, comfy clothing and a nice selection of Pashmina's. They're like family, they will even call you when an item comes back in stock.",none,nan
"While this shop is small and quaint, it boasts high quality products backed by excellent customer service. There are lots of indian outfits to choose from - men and women's for different sizes. I bought 3 suits from here - one for myself and the other two for my fiancee. The owner is very friendly with room to negotiate - I bought all 3 outfits for $300. I highly recommend coming here for an outfit or 2, you won't leave empty-handed or disappointed.",none,nan
The people are friendly and they have beautiful india dresses and men attire. Beautiful jewelry and India shoes and sandals.,none,nan
"I came here to find a pashmina shawl, and was very pleased with the selection. The shop is quite small but packed with clothing, and it's well-organized. I didn't feel pressured at all by the staff to buy anything, and although the shawl I selected is undoubtedly much cheaper in India, $20 is a reasonable price for DC. The shawl is of great quality, and I wear it often!",none,nan
Nice selection helpful owner/staff...seems to be family run.,none,nan
Very friendly owner and lots of interesting products,none,nan
"Great shop, but has a pushy sales man that kind of puts a damper your experience",none,nan
Plenty of off-street parking. The facility is clean and the atmosphere is nice. Karen was very nice and extremely knowledgeable. Thank you Karen!,none,nan
This is a very nice facility for senior citizens the people there are very kind make you feel great about getting younger lol. because of all the activities and things that I have for you information,none,nan
"Place for 60 over, free great gym, free lunch, and showers,. All Free",none,nan
"Great facility, outstanding center with multitude of activities for senior citizens.",none,nan
Great facility and staff. Can't wait to go back.,none,nan
PICK UP PRODUCE PLUS EVERY THURSDAY MORNING GET THERE ABOUT 8AM STARTS AT 9AM,none,nan
"A lot of activities for seniors. Quiet, clean and colorful.",none,nan
Wonderful resource for the elderly in the community,none,nan
This is a very nice place,none,nan
Nice place to go,none,nan
"MY PEDICURE WAS THE BEST AND THE LADY WAS SO FRIENDLY ,LONG THE NAIL TECH WAS SUPERB, HIS WIFE LINDA STILL GOOD WITH EYEBROW",none,nan
Been going here for all the 5 years thag I have been living in DC! Lynn and Helen never fail to get me right!,none,nan
"This cozy neighborhood spot has very reasonable prices and good service. However, wait times can get crazy during peak periods due to the fact that there are only 3-4 employees. They could also benefit from an updated HVAC system. Most standard nail services are available including manicure, pedicure, and waxing.",none,nan
Lynn was AMAZING,none,nan
"The person who did my nails was excellent. A slightly unpleasant odor, but my nails look very professional.",none,nan
They do a great job. Sometimes they make you wait to long.,none,nan
Awesome people.,none,nan
good..!!,none,nan
good....!!!!,none,nan
"Staff at the location are friendly, but service is down often at this location. I've had to walk out and go to another location several times.🙄",none,nan
"Best place to work, The system down frequently even in the busy tax season!",none,nan
Not the most helpful staff but I was able to get what I needed and leave quickly. I'll probably detour to another location in the future.,none,nan
"This post office is not open on the weekends. Not even the lobby like others. I'm sure there are many reasons for it, but now you know before you go.",none,nan
Treated me well and efficiently,none,nan
"It's USPS, what you want from it? Regular location with friendly staff.",none,nan
Service was fast and helpful!,none,nan
"Boardwalk Bar and Eatery has a Jersey Shore theme in their upstairs bar with a food menu of hotdogs, popcorn, and ice cream sandwiches. The downstairs bar maintains the same look and feel of the old Iron Horse with tons of video and bird games. Large beer menu.",none,nan
"Fun place to hangout with friends in a boardwalk themed bar. They have hotdogs and free popcorn, as well as beer and a variety of different excellent cocktails that go well with the theme. Try the cotton candy one",none,nan
"Fun place to hang out and chill after a long day. Games for grown ups to play in the downstairs level. Beachy vibes upstairs bar room. Skee-ball, air hockey, and more. Gave 4 stars because although the spirits and beer selections are good, one of the arcade games is based on a racial stereotype of Romani people. This machine should be removed. It's hurtful to myself and my other Romani cousins I've brought here. Not a good way to keep Roma patrons.",none,nan
Really fun spot with arcade games and an excellent drink and beer list,none,nan
Great pregame spot awesome service and great house created mixed drinks.,none,nan
A little crowded in the basement. Needs to reconfigure tables and games to allow more space.,none,nan
No FOOD.SERIOUSLY,none,nan
Very fun spot for a birthday,none,nan
onion rings were dry and old. I was in a hurry. I asked about several items but ended up selecting the curry shrimp when I got to my destination the hospital where I was going to stay overnight I realize that they had given me a chicken and so I had to go back to give them the food back we had a confrontation so I requested my money back. got to the hospital they let me go a place to get something to eat I got it was so hot and I still didn't get a chance to eat before having my procedure,none,nan
Great customer service reasonable prices and good food. The lunch specials are an excellent value,none,nan
I love the friendliness from the lady behind the counter.,none,nan
Good food great place to pick food up and go,none,nan
our go-to Chinese food in Petworth,none,nan
Great food,none,nan
CLOSED. Glad that’s over with.,none,nan
Carryout,irrelevant,Review does not provide specific feedback about a location or service.
In these troubled times ... hope EPA can stand up for something !,none,nan
Hard to navigate. Bad old bathrooms. There are some nice architectural features in the building.,none,nan
Shame this agency gets such a beautiful building,none,nan
(Translated by Google) A very pretty architecture of this building of the Roman style. (Original) Un très jolie architecture de cette édifice du style romain.,none,nan
(Translated by Google) ATTENTION AND ACCURACY! (Original) FEGYELEM ES PONTOSSAG !,none,nan
I've Been With Over 5 Years Luv Them Excellent Customer Service,none,nan
I have had nothing but good experiences w/Ace Cash Express and I hope that it continues.,none,nan
"It would be great if Ace cash express continues to offer its services up to time of closing, not telling customers you can not cash a check over $500, because money put away",none,nan
It's fast friendly and convenient.,none,nan
Problem solved,none,nan
Permanently closed,none,nan
Beautiful. Serene. Great quotes,none,nan
"The Khalil Gibran Memorial is one of the most obscure memorials in Washington, D.C., but one that's worth a visit if you're nearby. It's near the Observatory across the street from the U.K. Embassy and right next to the Embassy of South Africa. The memorial itself is small, but mighty. As you cross a small stone bridge, you read about this Lebanese- American writer/poet. As you wind around the memorial, you read more quotes by him until you get to the center with benches and more quotes. If you'",none,nan
"I parked on 30th St NW and took the Normanstone trail over the hill to Mass ave and walked the short distance to the memorial. Beautiful yet small memorial of a timeless poet. Though traffic can be loud near sunset, it's the best time to visit as the memorial is oriented west. You can also see the sun set over the British embassy. Restoring the water features would make this little spot absolutely magical.",none,nan
I will have to check on the text of the memorial in the morning to make it a more accurate review. But I was just awestruck by the architecture of the landscaping. I'll be back soon.,none,nan
Very peaceful park. Love the deers...nice walk too,none,nan
"One of DC's hidden gems. If you enjoy Gibran's books, this is an excellent place to come and meditate over their lessons. Also a great place to stop for a rest if you are on a run past all of the embassies and the Naval Observatory.",none,nan
calm and safe,none,nan
This is a great store with high end men's clothing. Sports type wear. Very nice.,none,nan
I love them. The customer service is amazing they treat you like family. Definitely will return,none,nan
"Been shopping here for years, always has maintained a sense style and sophistication",none,nan
Very unique store. I love it and will be back.,none,nan
Really great staff here. All the guys are super knowledgeable.,none,nan
The best sports clothes in DC period,none,nan
My husband loves this place for his clothes,none,nan
Been coming here over 25 years. The top destination for designer gear in the dmv.,none,nan
Great selection of men's shoes,none,nan
Great sports equipment,none,nan
If ya know ya know,none,nan
"I was told the price would be $115 for contact exam yesterday, made the appointment and came in today 7/17/20. (DR. was great) but after the exam, the service woman told me the price was $257 because it was comprehensive and a free pair of contacts. I said I wasn't going to pay more than what I was told, and she suddenly lowered it to $197. I was then given the option to leave, without my prescription and had to take the ""free"" contacts out of my eyes. ISo I did. Terrible place. Move on to somet",none,nan
"I was SHOCKED when I came here to leave a review and saw all the negative reviews. I had such a wonderful and great experience at this location. I just became an active full-time employee at my current job and I was waiting for all my medical cards to physically arrive in the mail, but desperately needed needed an eye exam because I had run out of contacts and needed an updated prescription. Elena, I believe is her name, was SO helpful. She contacted me when she couldn't find my vision insurance",none,nan
"Had an eye exam and contact lenses fitted here and it was a great experience all around. I wish I could thank people by name, but everyone I encountered from the optometrist to the employee who trained me to put in contacts were very kind and patient. I'm glad this office is in my neighborhood.",none,nan
The eye doctor here made me get a cheap brand of contacts that don't support astigmatism and said it would be okay to wear once in a while. I thought I wouldn't notice a difference but they're just terrible. I intend to go back and run them for a proper set of contacts. Edit: I'm trying to get a return but am told I can't since I bought over 6 months ago. They also refuse to even sell me different contacts until I pay for another examination despite having a current and valid prescription. I und,none,nan
I had a good experience. The appointment was easy to schedule and started on time. The staff was friendly and explained the charges before the exam started. The optometrist was also friendly and efficient.,none,nan
$95 on top of your regular eye exam to get a contact prescription,none,nan
Kind polite,none,nan
"You can volunteer, take classes, and purchase there products here. Wonderful owner very experienced with various methods of cultivating. Hence that's why it's called cultivate the city...",none,nan
Great place with a nice vibe and excellent classes.,none,nan
I so love this place! It's definitely a gem in the city and I strongly encourage everyone to try them out and get informed and dive in and grow! 🌿😉😊,none,nan
The best place to find unique plants and vegetables of every variety grown all over DC!!! Amazing price and variety of products included in their CSA baskets too!,none,nan
Had no idea this was here! Great little spot to pick up plants,none,nan
Very poor quality produce. Looks nice but the produce isn't managed well.,none,nan
Amazing garden center and space!,none,nan
Love this locally owned business. The ladies are wonderful and nice. I mostly get my lunches here from the fresh deli. They also have a nice selection of basic kitchen needs. From wines to chocolate snacks.,none,nan
"Poor customer service,don’t waste your time here,they don’t accept card,never ever come back.",none,nan
"Clean, economical, fast and delicious sandwiches.",none,nan
"Nice shop, delicious deli, and nice staff!!",none,nan
Good stuff,none,nan
Great service,none,nan
Good place,none,"On-topic, valid review of the business."
Great sandwich,none,nan
(Translated by Google) Sushi is very good (Original) Es muy bueno el Sushi,none,nan
One of the best spots to get a fresh meal...especially if you're watching calories. My favorite...Tuna on a spinach wrap....YUMMY EVERY TIME SUBWAY AT GW HOSPITAL IS THE SPOT!!! The staff there are also a pleasure to meet and will ensure you get exactly what you want the way you want it!,none,nan
"What's to say? Good sandwiches. Because they're in the hospital, they don't take coupons. However if one is a Foggy Bottom Association FBA member, there are discounts.",none,nan
Never eat there again the service was poor and the food sucked,none,nan
Subs was good,none,nan
Regular Smegular subs,none,nan
It mess my and my lil brother hair up,none,nan
Great talent in All the barber's there.,none,nan
"The libraries in the dc are doing people like myself, with no access to a computer, a very bad disservice. I cannot print my information to get assistance for my rent because of the of the Pandemic, but before the end of the year I was able to use a computer to print all my information to recertify for my apartment.",none,nan
"Such a great place to get all my higher education studies completed online, and to grab a nice book also.",none,nan
"Not just your average library goers will stumble in Francis A. Gregory Library. Don't be surprised if you see photographers and design snobs there ignoring the books and looking up at the ceiling. The library is famously designed by the same man who crafted the National Museum of African American History and Culture. Somehow we connected the past with the future in his design with lots of wood and glass letting in the natural light. If you're not a designer or a photographer, here are other reas",none,nan
"Free wifi & the upper level is exclusively for kids, including a learning area for small children. Also has plenty of seating.",none,nan
"Helpful staff, good selection, nice and clean. Very beautiful building.",none,nan
The staff is awesome and they have great selections in most genres.,none,nan
My son mom works at Francis Greg,none,nan
"Profound, ebullient public design.",none,nan
"TODAY TOPED MANY EVEN THOUGH ITS ODD I NEVER SEE PRICES UP ON WALL. NEEDLESS TO SAY MY SERVICE IS ALWAYS TOP NOTCH VERU FRIENDLY, EXPENSIVE SHOP, BUTT THEY ALSO HAVE SERVICES THAT CATER TO YOUR BUDGET CLEAN, PLEASANT, SMELL GOOD, STRESS FREE LIKE HAVING A SPA DAY AWAY BUSY BEE TEE🐝🍵",none,nan
"Kathy is the best, she is a professional...Good job sis",none,nan
Great eye brow waxing! Mediocre acrylic nail set The nail tech cut me from filing too hard to the point that my finger was bleeding then told me I was too sensitive.,none,nan
Cathy does an amazing job on my nails. I don’t want anyone to touch them but her!,none,nan
"Recieved a pedicure and it was HORRIBLE! The nail tech was so speedy she forgot to clean under my toes, she attempted to use a grater on my feet without asking. She did not scrub my feet well, my white polish was lumpy and left my toe in pain this is ridiculous. Do not go here!!",none,nan
My daughter likes it check you leave,none,nan
"For myself I no longer come to this shop. However, for my diabetic male friend the nail tech did an exceptional job with his mani & pedi to clip the nails and remove the very rough skin. She was very gentle. I may give them another chance.",none,nan
It's a nice place.,none,nan
🌟,none,nan
